0.1354306, 0.7699904, -0.6513921
0.1363742, 0.7728089, -0.6462969
0.1654626, 0.7989846, -0.6283425
0.170972, 0.8055983, -0.5343359
0.170972, 0.8055983, -0.5343359
0.2588738, 0.9942518, -0.6146933
0.2941228, 1.134581, -0.6769633
0.2660052, 1.139128, -0.6583205
0.2859993, 1.080091, -0.7230004
0.2821841, 1.09023, -0.7375987
0.2126427, 1.146595, -0.6829579
0.2494763, 1.077207, -0.6959983
0.238735, 1.124089, -0.6860373
0.2496353, 1.067639, -0.7064484
0.2314726, 1.108874, -0.6788917
0.2329741, 0.9556422, -0.6546975
0.2248507, 0.7660037, -0.636446
0.2127033, 0.7284576, -0.640017
0.2154386, 0.7455032, -0.6385559
0.2305971, 0.8468331, -0.6005971
0.2591241, 0.9208371, -0.6099676
0.2591241, 0.9208371, -0.6099676
0.2591241, 0.9208371, -0.6099676
0.2591241, 0.9208371, -0.6099676
0.2591241, 0.9208371, -0.6099676
0.2191513, 0.7393755, -0.6570239
0.2173074, 0.751215, -0.6280581
0.2045902, 0.7860816, -0.6259965
0.287088, 1.025245, -0.7214637
0.214023, 1.050244, -0.7016793
0.3338081, 1.06415, -0.7646178
0.297049, 1.070336, -0.7504956
0.2681718, 1.020987, -0.7891626
0.2189476, 1.0755, -0.7162137
0.2333937, 1.00027, -0.7392131
0.2424177, 1.013818, -0.7796233
0.246261, 1.073843, -0.7622157
0.2355439, 1.087516, -0.7527685
0.259972, 1.109179, -0.8484346
0.259972, 1.109179, -0.8484346
0.259972, 1.109179, -0.8484346
0.259972, 1.109179, -0.8484346
0.259972, 1.109179, -0.8484346
0.259972, 1.109179, -0.8484346
0.259972, 1.109179, -0.8484346
0.259972, 1.109179, -0.8484346
0.259972, 1.109179, -0.8484346
0.259972, 1.109179, -0.8484346
0.259972, 1.109179, -0.8484346
